LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in train set NsmsTRN=  29  in calibration set NsmsCLB=   7 Nact=124 NactSFk=124

SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in training set with SA
N2 is the number of SMILES in invisible training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in training set is 29
The number of SMILES in calibration set is 7

TRN++ : how many times attribute is placed in structures
of the training set where endpoint higher than middle.
TRN-- : how many times attribute is placed in structures
of the training set where endpoint lower than middle.

iTRN++, iTRN--, CLB++, and CLB-- are the analogical data
for invisible training set and calibration set.

 SAk        : CW(SAk)    :        ID  :        N1  :        N2  :        N3  : DEFECT[SAk]: TRN++      : TRN--      : iTRN++     : iTRN--     : CALIB++    : CALIB--    :
F...1.......:         0.0:         103:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
Br..(.......:     0.69009:         104:           4:           3:           0:      1.0000:           2:           2:           2:           1:           0:           0:
Br..(...2...:     0.16795:         105:           4:           3:           0:      1.0000:           2:           2:           2:           1:           0:           0:
Br..(...C...:         0.0:         106:           1:           3:           0:      0.0000:           1:           0:           2:           1:           0:           0:
Br..(...Br..:         0.0:         107:           3:           0:           0:      0.0000:           1:           2:           0:           0:           0:           0:
Br..........:     0.79933:         108:           4:           3:           0:      1.0000:           2:           2:           2:           1:           0:           0:
Cl..(.......:         0.0:         109:           3:           5:           1:      0.0000:           1:           2:           2:           3:           1:           0:
Cl..(.../...:         0.0:         110:           2:           2:           0:      0.0000:           0:           2:           0:           2:           0:           0:
Cl..(...1...:         0.0:         111:           3:           3:           1:      0.0000:           1:           2:           2:           1:           1:           0:
Cl..(...C...:         0.0:         112:           0:           1:           1:      0.0000:           0:           0:           1:           0:           1:           0:
Cl..(...F...:         0.0:         113:           0:           2:           0:      0.0000:           0:           0:           0:           2:           0:           0:
Cl..........:         0.0:         114:           3:           5:           1:      0.0000:           1:           2:           2:           3:           1:           0:
Cl..1.......:         0.0:         115:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
HALO00000000:     0.50802:         116:          14:          15:           6:      0.0187:           5:           9:           3:          12:           0:           6:
HALO00100000:         0.0:         117:           2:           2:           0:      0.0000:           1:           1:           1:           1:           0:           0:
HALO01000000:         0.0:         118:           2:           3:           1:      0.0000:           1:           1:           2:           1:           1:           0:
HALO01100000:         0.0:         119:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
HALO10000000:    -0.08106:         120:           9:           6:           0:      1.0000:           0:           9:           1:           5:           0:           0:
HALO10100000:         0.0:         121:           1:           1:           0:      0.0000:           1:           0:           1:           0:           0:           0:
